sub_subcategory_id,sub_subcategory_name,category_id,category_name,deal_id,sic,sic_description,sic_6_digit,sic_6_digit_description,SIC 8-digit,8_digit_Description,naics,naics_description
411,Laser Tag,6,Arts & Entertainment,11,7999,Amusement and Recreation Services NEC,799900,Laser Tag,36529901.0,"Compact laser discs, prerecorded",713990,All Other Amusement and Recreation Industries
412,Libraries,6,Arts & Entertainment,11,8231,Libraries,823100,Libraries,82310000.0,Libraries,519120,Libraries and Archives
413,Live Music,6,Arts & Entertainment,11,7929,"Bands, Orchestras, Actors, and Other Entertainers and Entertainment Groups",792900,Live Music,42120103.0,Live poultry haulage,711130,Musical Groups and Artists
414,Magic Shows,6,Arts & Entertainment,11,7929,"Bands, Orchestras, Actors, and Other Entertainers and Entertainment Groups",792900,Magic Shows,39449910.0,Magic lanterns (toys),711510,"Independent Artists, Writers, and Performers"
384,Movie Theaters,6,Arts & Entertainment,11,7832,Motion Picture Theaters,783200,Movie Theaters,73359902.0,"Color separation, photographic and movie film",512131,Motion Picture Theaters (except Drive-Ins)
385,Museums,6,Arts & Entertainment,5,8412,Museums and Art Galleries,841200,Museums,84120000.0,Museums and art galleries,712110,Museums
415,Music Halls,6,Arts & Entertainment,11,7929,"Bands, Orchestras, Actors, and Other Entertainers and Entertainment Groups",792900,Music Halls,39310102.0,Autophones (organs with perforated music rolls),711310,"Promoters of Performing Arts, Sports, and Similar Events"
386,Music Venues,6,Arts & Entertainment,11,7929,"Bands, Orchestras, Actors, and Other Entertainers and Entertainment Groups",792900,Music Venues,39310102.0,Autophones (organs with perforated music rolls),711310,"Promoters of Performing Arts, Sports, and Similar Events"
416,Night Markets,6,Arts & Entertainment,11,5999,Miscellaneous Retail Stores NEC,599999,Night Markets,54210000.0,Meat and fish markets,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores)
387,Opera,6,Arts & Entertainment,11,7929,"Bands, Orchestras, Actors, and Other Entertainers and Entertainment Groups",792900,Opera,23539909.0,Opera hats,711130,Musical Groups and Artists
388,Orchestra,6,Arts & Entertainment,7,7389,Professional orchestras and opera companies,713940,Opera Companies,23539909.0,Opera hats,711130,Musical Groups and Artists
417,Paintball,6,Arts & Entertainment,11,7999,Amusement and Recreation Services NEC,799900,Paintball,79990000.0,"Amusement and recreation, nec",713990,All Other Amusement and Recreation Industries
389,Performing Arts,6,Arts & Entertainment,11,7929,"Bands, Orchestras, Actors, and Other Entertainers and Entertainment Groups",792900,Performing Arts,79220203.0,Performing arts center production,711110,Theater Companies and Dinner Theaters
418,Photography Studios,6,Arts & Entertainment,11,7221,"Photographic Studios, Portrait",722100,Photography Studios,48999902.0,Missile tracking by telemetry and photography,541921,"Photography Studios, Portrait"
390,Planetariums,6,Arts & Entertainment,8,8422,Arboreta and botanical or zoological gardens,842200,Planetariums,79960000.0,Amusement parks,712190,Nature Parks and Other Similar Institutions
419,Recording Studios,6,Arts & Entertainment,11,7389,Business Services NEC,738900,Recording Studios,36510117.0,"Recording machines, except dictation and telephone answering",512240,Sound Recording Studios
391,Theater,6,Arts & Entertainment,11,7922,"Theatrical Producers (except Motion Picture), Bands, Orchestras, and Entertainers",792200,Theater,50210110.0,Theater seats,711110,Theater Companies and Dinner Theaters
420,Trampoline Parks,6,Arts & Entertainment,11,7999,Amusement and Recreation Services NEC,799900,Trampoline Parks,79999917.0,Trampoline operation,713990,All Other Amusement and Recreation Industries
421,Virtual Reality,6,Arts & Entertainment,11,7999,Amusement and Recreation Services NEC,799900,Virtual Reality,79990000.0,"Amusement and recreation, nec",713990,All Other Amusement and Recreation Industries
392,Zoos & Aquariums,6,Arts & Entertainment,9,8422,Arboreta and botanical or zoological gardens,842200,Zoos & Aquariums,84220100.0,Aquariums and zoological gardens,712130,Zoos and Botanical Gardens
213,Accessory/Audio,3,Automotive,11,5531,Auto and Home Supply Stores,553199,Accessory/Audio,36510102.0,Audio electronic systems,441310,Automotive Parts and Accessories Stores
209,Auto Specialty Repair,3,Automotive,11,7549,Automotive Services NEC,754900,Auto Specialty Repair,75390101.0,Auto front end repair,811198,All Other Automotive Repair and Maintenance
189,Autoparts/Aftermarket,3,Automotive,11,5531,Auto and Home Supply Stores,553110,Automotive Parts and Accessories Stores,35850507.0,"Soda fountains, parts, and accessories",441310,Automotive Parts and Accessories Stores
207,Boating,3,Automotive,11,5551,Boat Dealers,555100,Boating,79970202.0,"Boating club, membership",441222,Boat Dealers
190,Body Shop,3,Automotive,11,7532,"Top, Body, and Upholstery Repair Shops",753210,Automotive Body Shops,75320404.0,"Collision shops, automotive",811121,"Automotive Body, Paint, and Interior Repair and Maintenance"
191,Car Wash,3,Automotive,11,7542,Car Washes,754200,Car Wash,28999909.0,Core wash or wax,811192,Car Washes
214,Custom Auto,3,Automotive,11,7532,"Top, Body, and Upholstery Repair Shops",753299,Custom Auto,20999916.0,"Sorghum, including custom refining",811121,"Automotive Body, Paint, and Interior Repair and Maintenance"
192,Dealers,3,Automotive,11,5511,Motor Vehicle Dealers (New and Used),551100,Auto Dealers,55510000.0,Boat dealers,441110,New Car Dealers
215,Detailing,3,Automotive,11,7542,Car Washes,754200,Detailing,47890203.0,Sleeping car and other passenger car services,811192,Car Washes
210,Fleet Service,3,Automotive,11,7538,General Automotive Repair Shops,753800,Fleet Service,7220105.0,Threshing service,811111,General Automotive Repair
193,Gas Station,3,Automotive,11,5541,Gasoline Service Stations,554100,Gas Station,16230102.0,Natural gas compressor station construction,447110,Gasoline Stations with Convenience Stores
194,General Repair,3,Automotive,11,7538,General Automotive Repair Shops,753800,General Automotive Repair,75380000.0,General automotive repair shops,811111,General Automotive Repair
195,Glass Repair,3,Automotive,11,7536,Automotive Glass Replacement Shops,753600,Auto Glass Repair,76991802.0,China and glass repair,811122,Automotive Glass Replacement Shops
196,Lube/Oil Change,3,Automotive,11,7549,Automotive Services NEC,754900,Lube/Oil Change,1190300.0,Oil grains,811191,Automotive Oil Change and Lubrication Shops
211,Mobile Detailing,3,Automotive,11,7542,Car Washes,754200,Mobile Detailing,24510202.0,Mobile classrooms,811192,Car Washes
197,Motorcycle Associations & Clubs,3,Automotive,11,7997,This category includes establishments primarily engaged in promoting the interests of their members involved with motorcycles and other motor vehicles.,799720,Motorcycle Associations & Clubs,60369901.0,"Savings and loan associations, not federally chartered",813910,Business Associations
198,Motorcycle Dealers,3,Automotive,11,5571,Establishments primarily engaged in the retail sale of new and used motorcycles.,557140,Motorcycle Dealers,55710000.0,Motorcycle dealers,441210,"This industry comprises establishments primarily engaged in retailing new and/or used motorcycles, motor scooters, motorbikes, mopeds, off-road all-terrain vehicles, and personal watercraft."
216,New Car Dealers,3,Automotive,11,5511,Motor Vehicle Dealers (New and Used),551100,New Car Dealers,55110000.0,New and used car dealers,441110,New Car Dealers
199,Parking,3,Automotive,11,7521,Automobile Parking,752100,Parking,17710300.0,"Driveway, parking lot, and blacktop contractors",812930,Parking Lots and Garages
208,Rental Cars,3,Automotive,11,7514,Passenger Car Rental,751400,Rental Cars,47410000.0,Rental of railroad cars,532111,Passenger Car Rental
200,RV Associations,3,Automotive,11,8661,Automotive Associations,866150,RV Associations,60369901.0,"Savings and loan associations, not federally chartered",813910,"Business Associations (Automotive, RV)"
201,RV Dealers,3,Automotive,11,5561,Recreational Vehicle Dealers,556100,RV Dealers,55510000.0,Boat dealers,441210,Recreational Vehicle Dealers
212,Seat Covers,3,Automotive,11,7531,"Top, Body, and Upholstery Repair Shops",753199,Seat Covers,23999910.0,"Seat covers, automobile",811121,"Automotive Body, Paint, and Interior Repair and Maintenance"
202,Smog/Emissions,3,Automotive,11,7549,Automotive Services NEC,754900,Smog/Emissions,75490101.0,"Emissions testing without repairs, automotive",811198,All Other Automotive Repair and Maintenance
203,Tire,3,Automotive,11,7534,Tire Retreading and Repair Shops,753400,Tire,22960000.0,Tire cord and fabrics,811198,All Other Automotive Repair and Maintenance
204,Towing,3,Automotive,11,7549,Automotive Services NEC,754900,Towing,44499902.0,Log rafting and towing,488410,Motor Vehicle Towing
205,Transport,3,Automotive,11,4213,"Trucking, Except Local",421300,Transport,37310207.0,"Transport vessels, troop: building and repairing",484110,"General Freight Trucking, Local"
206,Used Car,3,Automotive,11,5521,Motor Vehicle Dealers (Used Only),552100,Used Car,55210000.0,Used car dealers,441120,Used Car Dealers
436,Accounting,7,B 2 B,11,8721,"Accounting, Auditing, and Bookkeeping Services",872100,Accounting,35780100.0,Accounting machines and cash registers,541211,Offices of Certified Public Accountants
460,Advertising Agencies,7,B 2 B,11,7311,Advertising Agencies,731100,Advertising Agencies,73110000.0,Advertising agencies,541810,Advertising Agencies
437,Appraisers,7,B 2 B,11,6531,Real Estate Agents and Managers,653199,Appraisers,73891401.0,"Appraisers, except real estate",531320,Offices of Real Estate Appraisers
438,Architecture/Engineers,7,B 2 B,11,8712,Architectural Services,871200,Architecture/Engineers,87110100.0,Sanitary engineers,541310,Architectural Services
461,Asset Based Lending,7,B 2 B,11,6159,Miscellaneous Business Credit Institutions,615900,Asset Based Lending,82310303.0,Lending library,522298,All Other Non-Depository Credit Intermediation
439,Attorneys,7,B 2 B,11,8111,Legal Services,811100,Attorneys,92220102.0,District attorneys' office,541110,Offices of Lawyers
462,Banking Services,7,B 2 B,11,6021,National Commercial Banks,602100,Banking Services,35780300.0,Banking machines,522110,Commercial Banking
432,Banks,7,B 2 B,11,6021,National Commercial Banks,602100,Banks,61110201.0,Banks for cooperatives,522110,Commercial Banking
423,Bill Boards/Outdoor,7,B 2 B,11,7311,Advertising Agencies,731140,Bill Boards/Outdoor,24939901.0,"Bulletin boards, cork",541850,Outdoor Advertising
422,Bookkeeping Services,7,B 2 B,11,8721,Bookkeeping services,872110,Bookkeeping Services,87219901.0,Billing and bookkeeping service,541219,Other Accounting Services
440,Business Brokers,7,B 2 B,11,6531,Real Estate Agents and Managers,653199,Business Brokers,73891701.0,"Brokers, business: buying and selling business enterprises",531210,Offices of Real Estate Agents and Brokers
426,Business Valuation Specialists,7,B 2 B,11,7389,"Business Services, NEC",738990,Business Valuation Specialists,26210601.0,Business form paper,541211,Offices of Certified Public Accountants
463,Call Centers,7,B 2 B,11,7389,Business Services NEC,738900,Call Centers,22989901.0,Wire rope centers,561422,Telephone Call Centers
464,Collections,7,B 2 B,11,7322,Adjustment and Collection Services,732200,Collections,73110000.0,Advertising agencies,561440,Collection Agencies
465,Commercial Banking,7,B 2 B,11,6021,National Commercial Banks,602100,Commercial Banking,35780300.0,Banking machines,522110,Commercial Banking
466,Commercial Real Estate,7,B 2 B,11,6531,Real Estate Agents and Managers,653100,Commercial Real Estate,65310104.0,"Real estate agent, commercial",531120,Lessors of Nonresidential Buildings (except Miniwarehouses)
441,Consulting,7,B 2 B,11,8748,Business Consulting Services NEC,874800,Consulting,87119903.0,Consulting engineer,541611,Administrative Management and General Management Consulting Services
467,Credit Repair,7,B 2 B,11,7299,Miscellaneous Personal Services,729900,Credit Repair,35780105.0,"Registers, credit account",522298,All Other Non-Depository Credit Intermediation
424,Data-Marketing/Leads,7,B 2 B,11,7389,"Business Services, NEC",738910,Data-Marketing/Leads,35550303.0,"Leads, printers'",541613,Marketing Consulting Services
442,Dentist/Medical,7,B 2 B,11,8021,Offices and Clinics of Dentists,802100,Dentist/Medical,30690100.0,Medical and laboratory rubber sundries and related products,621210,Offices of Dentists
425,Direct Mail,7,B 2 B,11,7331,Direct Mail Advertising Services,733110,Direct Mail,73310000.0,Direct mail advertising services,541860,Direct Mail Advertising
468,Equipment Financing,7,B 2 B,11,6159,Miscellaneous Business Credit Institutions,615900,Equipment Financing,61530100.0,Working capital financing,522220,Sales Financing
469,Equipment Leasing,7,B 2 B,11,7359,Equipment Rental and Leasing NEC,735900,Equipment Leasing,73590103.0,Laundry equipment leasing,532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing
427,Factoring,7,B 2 B,11,6159,Miscellaneous business credit institutions,615900,Factoring,61530200.0,Factoring services,522298,All Other Non-Depository Credit Intermediation
443,Financial Services,7,B 2 B,11,6211,"Security Brokers, Dealers, and Flotation Companies",621100,Financial Services,73890900.0,Financial services,523120,Securities Brokerage
470,Freight/Transportation,7,B 2 B,11,4213,"Trucking, Except Local",421300,Freight/Transportation,44320000.0,Freight transportation on the great lakes,484110,"General Freight Trucking, Local"
444,Human Resources,7,B 2 B,11,8999,Services NEC,899900,Human Resources,94410200.0,Administration of social and human resources,541612,Human Resources Consulting Services
433,Insurance,7,B 2 B,11,6411,"Insurance Agents, Brokers, and Service",641100,Insurance,63110000.0,Life insurance,524210,Insurance Agencies and Brokerages
471,Insurance Agencies,7,B 2 B,11,6411,"Insurance Agents, Brokers, and Service",641100,Insurance Agencies,60810000.0,Foreign bank and branches and agencies,524210,Insurance Agencies and Brokerages
434,Investment Services,7,B 2 B,11,6282,Investment Advice,628200,Investment Services,33240000.0,Steel investment foundries,523930,Investment Advice
472,Janitorial Services,7,B 2 B,11,7349,Building Cleaning and Maintenance Services NEC,734900,Janitorial Services,45810201.0,Aircraft cleaning and janitorial service,561720,Janitorial Services
473,Legal Services,7,B 2 B,11,8111,Legal Services,811100,Legal Services,81110000.0,Legal services,541110,Offices of Lawyers
445,Logistic/Shipping,7,B 2 B,11,4731,Arrangement of Transportation of Freight and Cargo,473100,Logistic/Shipping,24410203.0,"Shipping cases, wood: nailed or lock corner",488510,Freight Transportation Arrangement
446,Manufacturing,7,B 2 B,11,3999,Manufacturing Industries NEC,399900,Manufacturing,24119904.0,Stumping for turpentine or powder manufacturing,333999,All Other Miscellaneous General Purpose Machinery Manufacturing
429,Marketing - Advertising,7,B 2 B,11,7311,Advertising Agencies,731100,Marketing - Advertising,27520201.0,"Advertising posters, lithographed",541810,Advertising Agencies
474,Merchant Services,7,B 2 B,11,7389,Business Services NEC,738900,Merchant Services,72190104.0,"Tailor shop, except custom or merchant tailor",522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities"
475,Office Equipment,7,B 2 B,11,5044,Office Equipment,504400,Office Equipment,36610108.0,"Telephone central office equipment, dial or manual",423420,Office Equipment Merchant Wholesalers
447,Office Services,7,B 2 B,11,7389,Business Services NEC,738900,Office Services,25210100.0,"Wood office chairs, benches and stools",561110,Office Administrative Services
428,Payroll Service - PEO's,7,B 2 B,11,7361,"Employment Agencies, Temporary Help Services",736110,Payroll Service - PEO's,87210202.0,Payroll accounting service,561330,Professional Employer Organizations
476,Printing Services,7,B 2 B,11,2752,"Commercial Printing, Lithographic",275200,Printing Services,22610100.0,Printing of cotton broadwoven fabrics,323111,Commercial Printing (except Screen and Books)
448,Property Management,7,B 2 B,11,6531,Real Estate Agents and Managers,653100,Property Management,65120201.0,"Shopping center, property operation only",531311,Residential Property Managers
449,Public Relations,7,B 2 B,11,8743,Public Relations Services,874300,Public Relations,87439903.0,Public relations and publicity,541820,Public Relations Agencies
435,Realtors,7,B 2 B,11,6531,Real Estate Agents and Managers,653100,Realtors,65310000.0,Real estate agents and managers,531210,Offices of Real Estate Agents and Brokers
450,Recruitment/Staffing,7,B 2 B,11,7361,Employment Agencies,736100,Recruitment/Staffing,73610100.0,Placement agencies,561311,Employment Placement Agencies
451,SBA Loans,7,B 2 B,11,6159,Miscellaneous Business Credit Institutions,615900,SBA Loans,61410101.0,"Automobile loans, including insurance",522293,International Trade Financing
452,Security Services,7,B 2 B,11,7381,"Detective, Guard, and Armored Car Services",738100,Security Services,62899900.0,"Security and commodity services, nec",561612,Security Guards and Patrol Services
453,Software/Hardware,7,B 2 B,11,7372,Prepackaged Software,737200,Software/Hardware,50450000.0,"Computers, peripherals, and software",541511,Custom Computer Programming Services
454,Tax Services,7,B 2 B,11,7291,Tax Return Preparation Services,729100,Tax Services,73891300.0,Legal and tax services,541213,Tax Preparation Services
477,Technology Services,7,B 2 B,11,7371,Computer Programming Services,737100,Technology Services,73790203.0,Online services technology consultants,541511,Custom Computer Programming Services
478,Telecommunications,7,B 2 B,11,4813,"Telephone Communications, Except Radiotelephone",481300,Telecommunications,87480302.0,Telecommunications consultant,517110,Wired Telecommunications Carriers
479,Temporary Employment,7,B 2 B,11,7363,Help Supply Services,736300,Temporary Employment,73610102.0,Labor contractors (employment agency),561320,Temporary Help Services
455,Training/Coaching,7,B 2 B,11,8299,Schools and Educational Services NEC,829900,Training/Coaching,37280501.0,Link trainers (aircraft training mechanisms),611430,Professional and Management Development Training
456,Translation Services,7,B 2 B,11,7389,Business Services NEC,738900,Translation Services,73899953.0,Translation services,541930,Translation and Interpretation Services
457,Travel/Tourism,7,B 2 B,11,4724,Travel Agencies,472400,Travel/Tourism,37920000.0,Travel trailers and campers,561510,Travel Agencies
430,Video/Photography,7,B 2 B,11,7221,"Photographic Studios, Portrait",722100,Video/Photography,39440203.0,"Video game machines, except coin-operated",541921,"Photography Studios, Portrait"
458,Waste Management,7,B 2 B,11,4953,Refuse Systems,495300,Waste Management,95110200.0,Waste management agencies,562111,Solid Waste Collection
431,Web/IT Services,7,B 2 B,11,7371,Computer Programming Services,737100,Web/IT Services,34419906.0,"Joists, open web steel: long-span series",541511,Custom Computer Programming Services
459,Wholesale Distribution,7,B 2 B,11,5099,Durable Goods NEC,509900,Wholesale Distribution,36120100.0,Power and distribution transformers,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers
704,Asset Management,15,Broker Services,11,6282,Investment Advice,628200,Asset Management,9710101.0,Game management,523920,Portfolio Management
705,Business Brokerage,15,Broker Services,11,6531,Real Estate Agents and Managers,653100,Business Brokerage,26210601.0,Business form paper,531210,Offices of Real Estate Agents and Brokers
713,Business Consulting,15,Broker Services,11,8748,Business Consulting Services NEC,874800,Business Consulting,87480000.0,"Business consulting, nec",541611,Administrative Management and General Management Consulting Services
714,Business Evaluation,15,Broker Services,11,8748,Business Consulting Services NEC,874800,Business Evaluation,26210601.0,Business form paper,541611,Administrative Management and General Management Consulting Services
717,Business Transfer,15,Broker Services,11,6531,Real Estate Agents and Managers,653100,Business Transfer,26720110.0,"Transfer paper, gold or silver: from purchased materials",531210,Offices of Real Estate Agents and Brokers
698,Buyer Representation,15,Broker Services,11,6531,Real Estate Agents and Managers,653100,Buyer Representation,65310000.0,Real estate agents and managers,531210,Offices of Real Estate Agents and Brokers
718,Confidential Marketing,15,Broker Services,11,7311,Advertising Agencies,731100,Confidential Marketing,61119906.0,Student Loan Marketing Association,541810,Advertising Agencies
706,Consulting Services,15,Broker Services,11,8748,Business Consulting Services NEC,874800,Consulting Services,87420300.0,Marketing consulting services,541611,Administrative Management and General Management Consulting Services
707,Due Diligence,15,Broker Services,11,8748,Business Consulting Services NEC,874800,Due Diligence,87420000.0,Management consulting services,541611,Administrative Management and General Management Consulting Services
715,Exit Planning,15,Broker Services,11,8748,Business Consulting Services NEC,874800,Exit Planning,7810000.0,Landscape counseling and planning,541611,Administrative Management and General Management Consulting Services
708,Financial Analysis,15,Broker Services,11,8732,"Commercial Economic, Sociological, and Educational Research",873200,Financial Analysis,38260701.0,Differential thermal analysis instruments,541910,Marketing Research and Public Opinion Polling
699,Investment Analysis,15,Broker Services,11,6282,Investment Advice,628200,Investment Analysis,38260701.0,Differential thermal analysis instruments,523930,Investment Advice
700,Listing Services,15,Broker Services,11,6531,Real Estate Agents and Managers,653100,Listing Services,65310300.0,Real estate listing services,531210,Offices of Real Estate Agents and Brokers
701,Market Analysis,15,Broker Services,11,8732,"Commercial Economic, Sociological, and Educational Research",873200,Market Analysis,87320105.0,Market analysis or research,541910,Marketing Research and Public Opinion Polling
709,Market Research,15,Broker Services,11,8732,"Commercial Economic, Sociological, and Educational Research",873200,Market Research,51999902.0,Anatomical specimens and research material,541910,Marketing Research and Public Opinion Polling
719,Marketing Services,15,Broker Services,11,7311,Advertising Agencies,731100,Marketing Services,61119906.0,Student Loan Marketing Association,541810,Advertising Agencies
710,Merger & Acquisition,15,Broker Services,11,6282,Investment Advice,628200,Merger & Acquisition,87320106.0,"Merger, acquisition, and reorganization research",523110,Investment Banking and Securities Dealing
711,Negotiation Services,15,Broker Services,11,8748,Business Consulting Services NEC,874800,Negotiation Services,7119901.0,Fertilizer application services,541611,Administrative Management and General Management Consulting Services
702,Seller Representation,15,Broker Services,11,6531,Real Estate Agents and Managers,653100,Seller Representation,65310000.0,Real estate agents and managers,531210,Offices of Real Estate Agents and Brokers
716,Succession Planning,15,Broker Services,11,8748,Business Consulting Services NEC,874800,Succession Planning,7810000.0,Landscape counseling and planning,541611,Administrative Management and General Management Consulting Services
712,Transaction Management,15,Broker Services,11,6531,Real Estate Agents and Managers,653100,Transaction Management,9710101.0,Game management,531210,Offices of Real Estate Agents and Brokers
703,Valuation Services,15,Broker Services,11,7389,Business Services NEC,738900,Valuation Services,8519906.0,Timber valuation services,531320,Offices of Real Estate Appraisers
720,Active,16,Deal Status,11,7389,Business Services NEC,738900,Active,28430000.0,Surface active agents,541990,"All Other Professional, Scientific, and Technical Services"
735,Approved,16,Deal Status,11,7389,Business Services NEC,738900,Approved,80629907.0,"Hospital, AMA approved residency",541990,"All Other Professional, Scientific, and Technical Services"
727,Cancelled,16,Deal Status,11,7389,Business Services NEC,738900,Cancelled,32310502.0,Scientific and technical glassware: from purchased glass,541990,"All Other Professional, Scientific, and Technical Services"
726,Closed,16,Deal Status,11,7389,Business Services NEC,738900,Closed,17310402.0,Closed circuit television installation,541990,"All Other Professional, Scientific, and Technical Services"
732,Coming Soon,16,Deal Status,11,7389,Business Services NEC,738900,Coming Soon,32310502.0,Scientific and technical glassware: from purchased glass,541990,"All Other Professional, Scientific, and Technical Services"
728,Contingent,16,Deal Status,11,7389,Business Services NEC,738900,Contingent,32310502.0,Scientific and technical glassware: from purchased glass,541990,"All Other Professional, Scientific, and Technical Services"
733,Draft,16,Deal Status,11,7389,Business Services NEC,738900,Draft,38230409.0,"Draft gauges, industrial process type",541990,"All Other Professional, Scientific, and Technical Services"
724,Expired,16,Deal Status,11,7389,Business Services NEC,738900,Expired,32310502.0,Scientific and technical glassware: from purchased glass,541990,"All Other Professional, Scientific, and Technical Services"
729,In Escrow,16,Deal Status,11,7389,Business Services NEC,738900,In Escrow,60999904.0,Escrow institutions other than real estate,541990,"All Other Professional, Scientific, and Technical Services"
737,Modified,16,Deal Status,11,7389,Business Services NEC,738900,Modified,32310502.0,Scientific and technical glassware: from purchased glass,541990,"All Other Professional, Scientific, and Technical Services"
730,On Hold,16,Deal Status,11,7389,Business Services NEC,738900,On Hold,44919901.0,Ship hold cleaning,541990,"All Other Professional, Scientific, and Technical Services"
723,Pending,16,Deal Status,11,7389,Business Services NEC,738900,Pending,32310502.0,Scientific and technical glassware: from purchased glass,541990,"All Other Professional, Scientific, and Technical Services"
731,Pre-Market,16,Deal Status,11,7389,Business Services NEC,738900,Pre-Market,59999909.0,"Concrete products, pre-cast",541990,"All Other Professional, Scientific, and Technical Services"
736,Rejected,16,Deal Status,11,7389,Business Services NEC,738900,Rejected,32310502.0,Scientific and technical glassware: from purchased glass,541990,"All Other Professional, Scientific, and Technical Services"
734,Review,16,Deal Status,11,7389,Business Services NEC,738900,Review,86219906.0,Professional standards review board,541990,"All Other Professional, Scientific, and Technical Services"
721,Sold,16,Deal Status,11,7389,Business Services NEC,738900,Sold,29110305.0,"Oils, partly refined: sold for rerunning",541990,"All Other Professional, Scientific, and Technical Services"
725,Under Contract,16,Deal Status,11,7389,Business Services NEC,738900,Under Contract,22219905.0,"Textile warping, on a contract basis",541990,"All Other Professional, Scientific, and Technical Services"
